CARTELERA PROVISORIA - 2025 - 2do cuatrimestre,,,,,,,,,,
Actividades,Turno,Clase,Día,Inicio,Fin,Pab.,Aula,RA,DOCENTE,
Genética I,20/10/2025-27/10/2025-3/11/2025-10/11/2025,,Lunes,9:00,13:00,0,1101,,,
ECONOLab: Introducción al Modelado y Simulación de Tópicos Nodales de Economía - VISIT2025,,,Lunes,17:00,19:00,0,1101,DC,Kejsefman,2º cuatrimestre de 2025
Análisis Real-Medida y Probabilidad ,,,Lunes,8:00,13:00,0,1102,DM,Paternostro/Singer,2º cuatrimestre de 2025
Virología Molecular,,,Lunes,13:00,15:00,0,1102,QB,Garcia Cybele,2º cuatrimestre de 2025
Topología-Tópicos de Topología,,,Lunes,17:00,22:00,0,1102,DM,Devoto/Arnone,2º cuatrimestre de 2025
Algoritmos y Estructuras de Datos I-Introducción a la Programación-Introducción a la Computación,,Turno Mañana,Lunes,11:00,13:30,0,1103,DC,Urtasun/Zabala/Altauz/Di Piazza/Rodríguez,2º cuatrimestre de 2025
Algoritmos y Estructuras de Datos I-Introducción a la Programación-Introducción a la Computación,,Turno Tarde,Lunes,14:00,17:00,0,1103,DC,Urtasun/Zabala/Altauz/Di Piazza/Rodríguez,2º cuatrimestre de 2025
Algoritmos y Estructuras de Datos I-Introducción a la Programación-Introducción a la Computación,,Turno Noche,Lunes,19:30,21:30,0,1103,DC,Urtasun/Zabala/Altauz/Di Piazza/Rodríguez,2º cuatrimestre de 2025
Algoritmos y Estructuras de Datos I-Introducción a la Programación-Introducción a la Computación,,Turno Mañana,Lunes,11:00,13:30,0,1104,DC,Urtasun/Zabala/Altauz/Di Piazza/Rodríguez,2º cuatrimestre de 2025
Algoritmos y Estructuras de Datos I-Introducción a la Programación-Introducción a la Computación,,Turno Tarde,Lunes,14:00,17:00,0,1104,DC,Urtasun/Zabala/Altauz/Di Piazza/Rodríguez,2º cuatrimestre de 2025
Algoritmos y Estructuras de Datos I-Introducción a la Programación-Introducción a la Computación,,Turno Noche,Lunes,19:30,21:30,0,1104,DC,Urtasun/Zabala/Altauz/Di Piazza/Rodríguez,2º cuatrimestre de 2025
Algoritmos y Estructuras de Datos I-Introducción a la Programación-Introducción a la Computación,,Turno Mañana,Lunes,11:00,13:30,0,1105,DC,Urtasun/Zabala/Altauz/Di Piazza/Rodríguez,2º cuatrimestre de 2025
